Aggettivo,Comparativo,Superlativo,Significato,English,Frequenza
gut,besser,am besten,buono,good,1
groß,größer,am größten,grande,big,1
neu,neuer,am neuesten,nuovo,new,1
klein,kleiner,am kleinsten,piccolo,small,1
alt,älter,am ältesten,vecchio,old,1
lang,länger,am längsten,lungo,long,1
jung,jünger,am jüngsten,giovane,young,1
hoch,höher,am höchsten,alto,high,1
kurz,kürzer,am kürzesten,corto,short,1
stark,stärker,am stärksten,forte,strong,1
deutsch,deutscher,am deutschesten,tedesco,German,3
eigen,eigener,am eigensten,proprio,really,2
ganz,ganzer,am ganzesten,intero,whole,2
andere,anderer,am andersten,altro,other,3
verschieden,verschiedener,am verschiedensten,diverso,different,3
beide,beider,-,entrambi,both,2
einzeln,einzelner,am einzelnsten,singolo,single,3
voll,voller,am vollsten,pieno,full,1
erst,erster,-,primo,first,2
politisch,politischer,am politischsten,politico,politic,3
möglich,möglicher,am möglichsten,possibile,possible,3
weit,weiter,am weitesten,ampio/lontano,wide/far,2
wichtig,wichtiger,am wichtigsten,importante,important,1
öffentlich,öffentlicher,am öffentlichsten,pubblico,public,3
wirtschaftlich,wirtschaftlicher,am wirtschaftlichsten,economico,cheap,4
frei,freier,am freiesten,libero,libero,2
einfach,einfacher,am einfachsten,semplice,simple,1
gemeinsam,gemeinsamer,am gemeinsamsten,comune,municipality,3
deutlich,deutlicher,am deutlichsten,chiaro,clear,3
schwer,schwerer,am schwersten,pesante/difficile,heavy/difficult,1
gering,geringer,am geringsten,scarso,scarce,3
hell,heller,am hellsten,chiaro/luminoso,clear/bright,1
schwarz,schwärzer,am schwärzesten,nero,black,3
weiß,weißer,am weißesten,bianco,white,2
schnell,schneller,am schnellsten,veloce,fast,1
letzt,letzter,-,ultimo,last,2
rot,röter,am rötesten,rosso,red,2
richtig,richtiger,am richtigsten,giusto,right,1
sozial,sozialer,am sozialsten,sociale,social,3
staatlich,staatlicher,am staatlichsten,statale,highway,3
halb,halber,-,mezzo,half,2
bestimmt,bestimmter,am bestimmtesten,determinato,determined,3
spät,später,am spätesten,tardi,late,1
eng,enger,am engsten,stretto,narrow,1
tief,tiefer,am tiefsten,profondo,deep,1
französisch,französischer,am französischsten,francese,French,3
früh,früher,am frühesten,presto,soon,1
gesamt,gesamter,am gesamtesten,totale,total,3
europäisch,europäischer,am europäischsten,europeo,European,3
gleich,gleicher,am gleichsten,uguale,equal,3
männlich,männlicher,am männlichsten,maschile,masculine,3
inner,innerer,am innersten,interno,interior,2
ähnlich,ähnlicher,am ähnlichsten,simile,simile,3
grün,grüner,am grünsten,verde,green,2
nah,näher,am nächsten,vicino,near,1
mehrere,mehrerer,-,diversi/parecchi,several/many,3
amerikanisch,amerikanischer,am amerikanischsten,americano,American,3
bekannt,bekannter,am bekanntesten,noto/conosciuto,known,3
besonder,besonderer,am besondersten,particolare,particular,3
klar,klarer,am klarsten,chiaro,clear,2
modern,moderner,am modernsten,moderno,modern,3
international,internationaler,am internationalsten,internazionale,international,4
national,nationaler,am nationalsten,nazionale,national,3
italienisch,italienischer,am italienischsten,italiano,Italian,3
einzig,einziger,am einzigsten,unico,unique,3
englisch,englischer,am englischsten,inglese,English,3
blau,blauer,am blausten,blu,blue,2
weitere,weiterer,-,ulteriore,further,3
schwierig,schwieriger,am schwierigsten,difficile,difficult,1
wesentlich,wesentlicher,am wesentlichsten,essenziale,essential,3
schön,schöner,am schönsten,bello,beautiful,1
golden,goldener,am goldensten,dorato,golden,3
rund,runder,am rundesten,rotondo,round,2
direkt,direkter,am direktesten,diretto,direct,3
wenig,weniger,am wenigsten,poco,little,1
zentral,zentraler,am zentralsten,centrale,central,3
zahlreich,zahlreicher,am zahlreichsten,numeroso,numerous,3
persönlich,persönlicher,am persönlichsten,personale,personal,3
russisch,russischer,am russischsten,russo,red,3
