Verbo,Regolare,Significato,Präteritum,Participio passato,Perfetto,Caso,Riflessivo,Frequenza
sein,no,essere,war,gewesen,ist gewesen,-,no,1
haben,no,avere,hatte,gehabt,hat gehabt,Akkusativ,no,1
werden,no,diventare,wurde,geworden,ist geworden,Nominativ,no,1
können,no,potere,konnte,gekonnt,hat gekonnt,Akkusativ,no,1
müssen,no,dovere,musste,gemusst,hat gemusst,Akkusativ,no,1
sagen,sì,dire,sagte,gesagt,hat gesagt,Dativ + Akkusativ,no,1
machen,sì,fare,machte,gemacht,hat gemacht,Akkusativ,no,1
geben,no,dare,gab,gegeben,hat gegeben,Dativ + Akkusativ,no,1
kommen,no,venire,kam,gekommen,ist gekommen,-,no,1
sollen,no,dovere,sollte,gesollt,hat gesollt,Akkusativ,no,1
wollen,no,volere,wollte,gewollt,hat gewollt,Akkusativ,no,1
gehen,no,andare,ging,gegangen,ist gegangen,-,no,1
wissen,no,sapere,wusste,gewusst,hat gewusst,Akkusativ,no,1
sehen,no,vedere,sah,gesehen,hat gesehen,Akkusativ,no,1
lassen,no,lasciare,ließ,gelassen,hat gelassen,Akkusativ,no,1
stehen,no,stare in piedi,stand,gestanden,hat gestanden,-,no,1
finden,no,trovare,fand,gefunden,hat gefunden,Akkusativ,no,1
bleiben,no,rimanere,blieb,geblieben,ist geblieben,-,no,1
liegen,no,giacere,lag,gelegen,hat gelegen,-,no,2
heißen,no,chiamarsi,hieß,geheißen,hat geheißen,Nominativ,no,1
denken,no,pensare,dachte,gedacht,hat gedacht,Akkusativ,no,1
nehmen,no,prendere,nahm,genommen,hat genommen,Akkusativ,no,1
tun,no,fare,tat,getan,hat getan,Akkusativ,no,1
dürfen,no,potere (permesso),durfte,gedurft,hat gedurft,Akkusativ,no,1
glauben,sì,credere,glaubte,geglaubt,hat geglaubt,Dativ + Akkusativ,no,1
halten,no,tenere,hielt,gehalten,hat gehalten,Akkusativ,no,2
nennen,no,nominare,nannte,genannt,hat genannt,Akkusativ,no,2
mögen,no,piacere,mochte,gemocht,hat gemocht,Akkusativ,no,1
zeigen,sì,mostrare,zeigte,gezeigt,hat gezeigt,Dativ + Akkusativ,no,1
führen,sì,condurre,führte,geführt,hat geführt,Akkusativ,no,2
sprechen,no,parlare,sprach,gesprochen,hat gesprochen,Akkusativ,no,1
bringen,no,portare,brachte,gebracht,hat gebracht,Dativ + Akkusativ,no,1
leben,sì,vivere,lebte,gelebt,hat gelebt,-,no,1
fahren,no,guidare/andare,fuhr,gefahren,ist gefahren,Akkusativ,no,1
meinen,sì,pensare/opinare,meinte,gemeint,hat gemeint,Akkusativ,no,1
fragen,sì,chiedere,fragte,gefragt,hat gefragt,Akkusativ,no,1
kennen,no,conoscere,kannte,gekannt,hat gekannt,Akkusativ,no,1
gelten,no,valere,galt,gegolten,hat gegolten,Dativ,no,2
stellen,sì,mettere,stellte,gestellt,hat gestellt,Akkusativ,no,1
spielen,sì,giocare,spielte,gespielt,hat gespielt,Akkusativ,no,1
arbeiten,sì,lavorare,arbeitete,gearbeitet,hat gearbeitet,-,no,1
