Verbo,Regolare,Significato,English,Präteritum,Participio passato,Perfetto,Caso,Riflessivo,Frequenza
sein,no,essere,to be,war,gewesen,ist gewesen,-,no,1
haben,no,avere,to have,hatte,gehabt,hat gehabt,Akkusativ,no,1
werden,no,diventare,to become,wurde,geworden,ist geworden,Nominativ,no,1
können,no,potere,can/to be able to,konnte,gekonnt,hat gekonnt,Akkusativ,no,1
müssen,no,dovere,must/to have to,musste,gemusst,hat gemusst,Akkusativ,no,1
sagen,sì,dire,to say,sagte,gesagt,hat gesagt,Dativ + Akkusativ,no,1
machen,sì,fare,to do/make,machte,gemacht,hat gemacht,Akkusativ,no,1
geben,no,dare,to give,gab,gegeben,hat gegeben,Dativ + Akkusativ,no,1
kommen,no,venire,to come,kam,gekommen,ist gekommen,-,no,1
sollen,no,dovere,must/to have to,sollte,gesollt,hat gesollt,Akkusativ,no,1
wollen,no,volere,to want,wollte,gewollt,hat gewollt,Akkusativ,no,1
gehen,no,andare,to go,ging,gegangen,ist gegangen,-,no,1
wissen,no,sapere,to know,wusste,gewusst,hat gewusst,Akkusativ,no,1
sehen,no,vedere,to see,sah,gesehen,hat gesehen,Akkusativ,no,1
lassen,no,lasciare,to let/leave,ließ,gelassen,hat gelassen,Akkusativ,no,1
stehen,no,stare in piedi,to stand,stand,gestanden,hat gestanden,-,no,1
finden,no,trovare,to find,fand,gefunden,hat gefunden,Akkusativ,no,1
bleiben,no,rimanere,to remain/stay,blieb,geblieben,ist geblieben,-,no,1
liegen,no,giacere,to lie,lag,gelegen,hat gelegen,-,no,2
heißen,no,chiamarsi,to be called,hieß,geheißen,hat geheißen,Nominativ,no,1
denken,no,pensare,to think,dachte,gedacht,hat gedacht,Akkusativ,no,1
nehmen,no,prendere,to take,nahm,genommen,hat genommen,Akkusativ,no,1
tun,no,fare,to do/make,tat,getan,hat getan,Akkusativ,no,1
dürfen,no,potere (permesso),may/to be allowed to,durfte,gedurft,hat gedurft,Akkusativ,no,1
glauben,sì,credere,to believe,glaubte,geglaubt,hat geglaubt,Dativ + Akkusativ,no,1
