Aggettivo,Comparativo,Superlativo,Significato,Frequenza
gut,besser,am besten,buono,1
groß,größer,am größten,grande,1
neu,neuer,am neuesten,nuovo,1
klein,kleiner,am kleinsten,piccolo,1
alt,älter,am ältesten,vecchio,1
lang,länger,am längsten,lungo,1
jung,jünger,am jüngsten,giovane,1
hoch,höher,am höchsten,alto,1
kurz,kürzer,am kürzesten,corto,1
stark,stärker,am stärksten,forte,1
deutsch,deutscher,am deutschesten,tedesco,3
eigen,eigener,am eigensten,proprio,2
ganz,ganzer,am ganzesten,intero,2
andere,anderer,am andersten,altro,3
verschieden,verschiedener,am verschiedensten,diverso,3
beide,beider,-,entrambi,2
einzeln,einzelner,am einzelnsten,singolo,3
voll,voller,am vollsten,pieno,1
erst,erster,-,primo,2
politisch,politischer,am politischsten,politico,3
möglich,möglicher,am möglichsten,possibile,3
weit,weiter,am weitesten,ampio/lontano,2
wichtig,wichtiger,am wichtigsten,importante,1
öffentlich,öffentlicher,am öffentlichsten,pubblico,3
wirtschaftlich,wirtschaftlicher,am wirtschaftlichsten,economico,4
frei,freier,am freiesten,libero,2
einfach,einfacher,am einfachsten,semplice,1
gemeinsam,gemeinsamer,am gemeinsamsten,comune,3
deutlich,deutlicher,am deutlichsten,chiaro,3
schwer,schwerer,am schwersten,pesante/difficile,1
gering,geringer,am geringsten,scarso,3
hell,heller,am hellsten,chiaro/luminoso,1
schwarz,schwärzer,am schwärzesten,nero,3
weiß,weißer,am weißesten,bianco,2
schnell,schneller,am schnellsten,veloce,1
letzt,letzter,-,ultimo,2
rot,röter,am rötesten,rosso,2
richtig,richtiger,am richtigsten,giusto,1
sozial,sozialer,am sozialsten,sociale,3
staatlich,staatlicher,am staatlichsten,statale,3
halb,halber,-,mezzo,2
bestimmt,bestimmter,am bestimmtesten,determinato,3
spät,später,am spätesten,tardi,1
eng,enger,am engsten,stretto,1
tief,tiefer,am tiefsten,profondo,1
französisch,französischer,am französischsten,francese,3
früh,früher,am frühesten,presto,1
gesamt,gesamter,am gesamtesten,totale,3
europäisch,europäischer,am europäischsten,europeo,3
gleich,gleicher,am gleichsten,uguale,3
männlich,männlicher,am männlichsten,maschile,3
inner,innerer,am innersten,interno,2
ähnlich,ähnlicher,am ähnlichsten,simile,3
grün,grüner,am grünsten,verde,2
nah,näher,am nächsten,vicino,1
mehrere,mehrerer,-,diversi/parecchi,3
amerikanisch,amerikanischer,am amerikanischsten,americano,3
bekannt,bekannter,am bekanntesten,noto/conosciuto,3
besonder,besonderer,am besondersten,particolare,3
klar,klarer,am klarsten,chiaro,2
modern,moderner,am modernsten,moderno,3
international,internationaler,am internationalsten,internazionale,4
national,nationaler,am nationalsten,nazionale,3
italienisch,italienischer,am italienischsten,italiano,3
einzig,einziger,am einzigsten,unico,3
englisch,englischer,am englischsten,inglese,3
blau,blauer,am blausten,blu,2
weitere,weiterer,-,ulteriore,3
schwierig,schwieriger,am schwierigsten,difficile,1
wesentlich,wesentlicher,am wesentlichsten,essenziale,3
schön,schöner,am schönsten,bello,1
golden,goldener,am goldensten,dorato,3
rund,runder,am rundesten,rotondo,2
direkt,direkter,am direktesten,diretto,3
wenig,weniger,am wenigsten,poco,1
zentral,zentraler,am zentralsten,centrale,3
zahlreich,zahlreicher,am zahlreichsten,numeroso,3
persönlich,persönlicher,am persönlichsten,personale,3
russisch,russischer,am russischsten,russo,3
außen,äußerer,am äußersten,esterno,2
ander,anderer,am andersten,altro,2
mild,milder,am mildesten,mite,2
sicher,sicherer,am sichersten,sicuro,3
vorig,voriger,-,precedente,2
dünn,dünner,am dünnsten,sottile,1
britisch,britischer,am britischsten,britannico,3
blind,blinder,am blindesten,cieco,2
einheitlich,einheitlicher,am einheitlichsten,unitario,3
kulturell,kultureller,am kulturellsten,culturale,3
künstlerisch,künstlerischer,am künstlerischsten,artistico,3
sanft,sanfter,am sanftesten,dolce/gentile,2
israelisch,israelischer,am israelischsten,israeliano,3
link,linker,am linkesten,sinistro,2
recht,rechter,am rechtesten,destro,2
äußer,äußerer,am äußersten,estremo,2
offen,offener,am offensten,aperto,2
schlecht,schlechter,am schlechtesten,cattivo,1
militärisch,militärischer,am militärischsten,militare,3
fest,fester,am festesten,fisso/solido,2
schmal,schmaler,am schmalsten,stretto,3
dick,dicker,am dicksten,grosso/spesso,1
kirchlich,kirchlicher,am kirchlichsten,ecclesiastico,3
scharf,schärfer,am schärfsten,affilato/piccante,2
breit,breiter,am breitesten,largo,1
niedrig,niedriger,am niedrigsten,basso,1
warm,wärmer,am wärmsten,caldo,1
süß,süßer,am süßesten,dolce,2
offiziell,offizieller,am offiziellsten,ufficiale,3
wild,wilder,am wildesten,selvaggio,2
leer,leerer,am leersten,vuoto,1
normal,normaler,am normalsten,normale,3
nächst,nächster,-,prossimo,3
rein,reiner,am reinsten,puro,2
hart,härter,am härtesten,duro,1
regional,regionaler,am regionalsten,regionale,3
sogenannt,sogenannter,-,cosiddetto,3
